index,id,levels,lat,lon
0,23372067,9,55.7264334,37.6595663
1,23372067,9,55.726509,37.6593766
3,23372067,9,55.7262261,37.6593058
4,23372067,9,55.7264334,37.6595663
5,23372104,9,55.725817,37.6691878
6,23372104,9,55.725878,37.6702187
7,23372104,9,55.7259156,37.6702563
8,23372104,9,55.7262796,37.6700141
9,23372104,9,55.7262891,37.670046
10,23372104,9,55.7263656,37.6700024
11,23372104,9,55.7263665,37.6699705
12,23372104,9,55.7264247,37.669925
13,23372104,9,55.7263935,37.6697702
14,23372104,9,55.7262834,37.669843
15,23372104,9,55.7262078,37.6698916
16,23372104,9,55.7262031,37.6698732
17,23372104,9,55.7260322,37.669993
18,23372104,9,55.7259581,37.6699314
19,23372104,9,55.725947,37.6696987
20,23372104,9,55.7259649,37.6696987
21,23372104,9,55.7259661,37.6696447
22,23372104,9,55.726067,37.6696232
23,23372104,9,55.7260736,37.6696584
24,23372104,9,55.7261261,37.6696519
25,23372104,9,55.7261155,37.669404
26,23372104,9,55.7259524,37.6694363
27,23372104,9,55.7259333,37.6691606
28,23372104,9,55.725817,37.6691878
29,23372105,6,55.7260754,37.6691976
30,23372105,6,55.7260677,37.6691702
31,23372105,6,55.7260393,37.6691709
32,23372105,6,55.7260325,37.6690877
33,23372105,6,55.7260612,37.6690804
34,23372105,6,55.7260618,37.6690364
35,23372105,6,55.7262241,37.6689929
36,23372105,6,55.7262214,37.6690099
37,23372105,6,55.7265746,37.668937
38,23372105,6,55.7265718,37.6689078
39,23372105,6,55.7267201,37.6688805
40,23372105,6,55.726729,37.6690395
41,23372105,6,55.7265855,37.6690658
42,23372105,6,55.7265855,37.6691072
43,23372105,6,55.7262214,37.6691898
44,23372105,6,55.7262187,37.6691631
45,23372105,6,55.7260754,37.6691976
46,23372106,8,55.7254325,37.6644099
47,23372106,8,55.7254309,37.6646318
48,23372106,8,55.7264119,37.6646534
49,23372106,8,55.7264134,37.6644315
50,23372106,8,55.7254325,37.6644099
51,23372107,9,55.7269999,37.6647119
52,23372107,9,55.7269983,37.6649091
53,23372107,9,55.7271051,37.6649118
54,23372107,9,55.727275,37.6649161
55,23372107,9,55.7274321,37.6649201
56,23372107,9,55.7276164,37.6649247
57,23372107,9,55.7277576,37.6649283
58,23372107,9,55.727926,37.6649326
59,23372107,9,55.7281096,37.6649372
60,23372107,9,55.7282848,37.6649417
61,23372107,9,55.7283418,37.6649431
62,23372107,9,55.7283434,37.6647459
63,23372107,9,55.7269999,37.6647119
64,23372108,9,55.7269962,37.6659567
65,23372108,9,55.7269941,37.6661394
66,23372108,9,55.7283296,37.6661867
67,23372108,9,55.7283316,37.6660041
68,23372108,9,55.7269962,37.6659567
69,23372109,12,55.7287059,37.6640362
70,23372109,12,55.7286578,37.6642466
71,23372109,12,55.7288367,37.6643757
72,23372109,12,55.7291644,37.664612
73,23372109,12,55.7294965,37.6648516
74,23372109,12,55.7297735,37.6650514
75,23372109,12,55.7298046,37.6650739
76,23372109,12,55.7301412,37.6653167
77,23372109,12,55.7304548,37.6655429
78,23372109,12,55.7305946,37.6656438
79,23372109,12,55.7306427,37.6654334
80,23372109,12,55.7298242,37.6648429
81,23372109,12,55.7287059,37.6640362
82,23372110,12,55.7300488,37.6673495
83,23372110,12,55.7306689,37.6668412
84,23372110,12,55.7306131,37.6666264
85,23372110,12,55.729993,37.6671347
86,23372110,12,55.7300488,37.6673495
87,23372111,9,55.728978,37.6681716
88,23372111,9,55.7297429,37.6675443
89,23372111,9,55.7296938,37.6673554
90,23372111,9,55.7296072,37.6674264
91,23372111,9,55.7294779,37.6675325
92,23372111,9,55.7293284,37.6676551
93,23372111,9,55.7291836,37.6677738
94,23372111,9,55.7290296,37.6679001
95,23372111,9,55.7289289,37.6679827
96,23372111,9,55.728978,37.6681716
97,23372114,5,55.7281489,37.6688081
98,23372114,5,55.7287545,37.6684267
99,23372114,5,55.7287189,37.6682481
100,23372114,5,55.7286506,37.6682912
101,23372114,5,55.728498,37.6683872
102,23372114,5,55.7283397,37.6684869
103,23372114,5,55.7281974,37.6685765
104,23372114,5,55.7281132,37.6686295
105,23372114,5,55.7281489,37.6688081
106,23372119,5,55.7289428,37.6693917
107,23372119,5,55.7288305,37.6694568
108,23372119,5,55.7287934,37.669252
109,23372119,5,55.7283663,37.6694935
110,23372119,5,55.7283997,37.6696893
111,23372119,5,55.7282867,37.6697724
112,23372119,5,55.7282401,37.6695307
113,23372119,5,55.7282908,37.6693227
114,23372119,5,55.7287797,37.6690398
115,23372119,5,55.7288907,37.6691232
116,23372119,5,55.7289428,37.6693917
117,23372124,9,55.726021,37.6609161
118,23372124,9,55.7259415,37.6610514
119,23372124,9,55.7265508,37.6621254
120,23372124,9,55.7266286,37.6619789
121,23372124,9,55.726021,37.6609161
122,23372126,4,55.7274167,37.6621618
123,23372126,4,55.7278711,37.6621749
124,23372126,4,55.7278734,37.6619261
125,23372126,4,55.727419,37.661913
126,23372126,4,55.7274167,37.6621618
127,23413344,9,55.730349,37.6614103
128,23413344,9,55.7303854,37.661552
129,23413344,9,55.7304792,37.6619244
130,23413344,9,55.7305542,37.6622078
131,23413344,9,55.7304559,37.6623003
132,23413344,9,55.7303129,37.661762
133,23413344,9,55.7302391,37.6614929
134,23413344,9,55.730349,37.6614103
135,23414447,1,55.7309175,37.6650304
136,23414447,1,55.7308734,37.6648269
137,23414447,1,55.7308977,37.6648041
138,23414447,1,55.7308715,37.664678
139,23414447,1,55.7308977,37.6646589
140,23414447,1,55.7308832,37.6645898
141,23414447,1,55.7309119,37.6645687
142,23414447,1,55.7309007,37.6645144
143,23414447,1,55.7309157,37.6645
144,23414447,1,55.7308898,37.6643716
145,23414447,1,55.73091,37.6643226
146,23414447,1,55.7309778,37.664391
147,23414447,1,55.7310151,37.6645694
148,23414447,1,55.7310114,37.6645761
149,23414447,1,55.7310253,37.6646304
150,23414447,1,55.7310435,37.6646157
151,23414447,1,55.7310756,37.6647471
152,23414447,1,55.7310537,37.6647625
153,23414447,1,55.7311396,37.6651444
154,23414447,1,55.7310678,37.6651907
155,23414447,1,55.7310442,37.6650897
156,23414447,1,55.7310118,37.6651085
157,23414447,1,55.7309175,37.6650304
158,23414496,2,55.7316028,37.6637089
159,23414496,2,55.7316425,37.6638445
160,23414496,2,55.7318477,37.6645451
161,23414496,2,55.7318729,37.6646312
162,23414496,2,55.731917,37.6647818
163,23414496,2,55.731996,37.6647001
164,23414496,2,55.7319506,37.6645554
165,23414496,2,55.7319234,37.6644688
166,23414496,2,55.7318977,37.664387
167,23414496,2,55.7319943,37.6643012
168,23414496,2,55.7319798,37.6640179
169,23414496,2,55.7319122,37.6636145
170,23414496,2,55.7318493,37.66346
171,23414496,2,55.7317873,37.6635226
172,23414496,2,55.7317119,37.6635987
173,23414496,2,55.7316028,37.6637089
174,23414592,8,55.7287835,37.6632243
175,23414592,8,55.728916,37.6633324
176,23414592,8,55.7289235,37.6633037
177,23414592,8,55.7290171,37.6633801
178,23414592,8,55.7290107,37.6634046
179,23414592,8,55.7290362,37.6634255
180,23414592,8,55.7289948,37.6635847
181,23414592,8,55.7287432,37.6633794
182,23414592,8,55.7287835,37.6632243
183,23414615,4,55.7292898,37.6586479
184,23414615,4,55.7291919,37.6587166
185,23414615,4,55.7292116,37.6588051
186,23414615,4,55.7291159,37.6588723
187,23414615,4,55.7291505,37.6590276
188,23414615,4,55.7291813,37.6590059
189,23414615,4,55.7292805,37.6594514
190,23414615,4,55.7292579,37.6594672
191,23414615,4,55.7292896,37.6596094
192,23414615,4,55.7293634,37.6595575
193,23414615,4,55.7293832,37.6596464
194,23414615,4,55.7294934,37.659569
195,23414615,4,55.7294356,37.6593094
196,23414615,4,55.7293807,37.659348
197,23414615,4,55.7292892,37.658937
198,23414615,4,55.7293454,37.6588975
199,23414615,4,55.7292898,37.6586479
200,25912320,1,55.7585476,37.7399769
201,25912320,1,55.758986,37.7414158
202,25912320,1,55.7583383,37.742039
203,25912320,1,55.7578999,37.7406001
204,25912320,1,55.7585476,37.7399769
205,25912383,3,55.7817556,37.7175263
206,25912383,3,55.7817868,37.7180588
207,25912383,3,55.781804,37.7180556
208,25912383,3,55.7818081,37.7181259
209,25912383,3,55.781791,37.7181291
210,25912383,3,55.7817934,37.7181711
211,25912383,3,55.7814496,37.7182348
212,25912383,3,55.7814118,37.71759
213,25912383,3,55.7817556,37.7175263
214,27426806,5,55.7476959,37.7586308
215,27426806,5,55.7478116,37.7586562
216,27426806,5,55.7477269,37.7598712
217,27426806,5,55.7476113,37.7598458
218,27426806,5,55.7476959,37.7586308
219,27426809,5,55.747581,37.7574533
220,27426809,5,55.7477365,37.7574858
221,27426809,5,55.7477254,37.7576531
222,27426809,5,55.7476898,37.7576456
223,27426809,5,55.7476454,37.7583144
224,27426809,5,55.7476919,37.7583242
225,27426809,5,55.747679,37.7585191
226,27426809,5,55.7475125,37.7584842
227,27426809,5,55.747581,37.7574533
228,27427025,5,55.7279895,37.6699162
229,27427025,5,55.7279378,37.6696478
230,27427025,5,55.7278448,37.6695478
231,27427025,5,55.7274063,37.6698215
232,27427025,5,55.727353,37.6699754
233,27427025,5,55.7274205,37.6705951
234,27427025,5,55.7275328,37.6705582
235,27427025,5,55.7274747,37.67003
236,27427025,5,55.7274872,37.6699819
237,27427025,5,55.7278177,37.6697857
238,27427025,5,55.7278425,37.6698141
239,27427025,5,55.727876,37.6699765
240,27427025,5,55.7279895,37.6699162
241,27427275,5,55.7440685,37.7784079
242,27427275,5,55.744865,37.7787848
243,27427275,5,55.7448309,37.7790121
244,27427275,5,55.7440345,37.7786352
245,27427275,5,55.7440685,37.7784079
246,27427283,4,55.7437417,37.774246
247,27427283,4,55.7436524,37.7747548
248,27427283,4,55.7434368,37.7746353
249,27427283,4,55.7435261,37.7741265
250,27427283,4,55.7437417,37.774246
251,27487014,4,55.7272102,37.6707689
252,27487014,4,55.7271236,37.6701504
253,27487014,4,55.7270069,37.6700488
254,27487014,4,55.7266933,37.6702656
255,27487014,4,55.7267438,37.6704646
256,27487014,4,55.7270154,37.6702754
257,27487014,4,55.7270946,37.6708156
258,27487014,4,55.7272102,37.6707689
259,27555406,4,55.7274529,37.6709012
260,27555406,4,55.7274928,37.6712631
261,27555406,4,55.7275437,37.671232
262,27555406,4,55.7275958,37.6712744
263,27555406,4,55.7276076,37.6713691
264,27555406,4,55.7278499,37.671187
265,27555406,4,55.7278062,37.6710015
266,27555406,4,55.7276065,37.6711505
267,27555406,4,55.7275704,37.6708489
268,27555406,4,55.7274529,37.6709012
269,27555492,17,55.7308796,37.6711081
270,27555492,17,55.7307303,37.6708297
271,27555492,17,55.7307134,37.6708583
272,27555492,17,55.7306811,37.6707982
273,27555492,17,55.730697,37.6707713
274,27555492,17,55.730554,37.6705045
275,27555492,17,55.7304646,37.6706555
276,27555492,17,55.730611,37.6709285
277,27555492,17,55.7306242,37.6709063
278,27555492,17,55.7306596,37.6709724
279,27555492,17,55.7306441,37.6709986
280,27555492,17,55.7307869,37.6712649
281,27555492,17,55.7308796,37.6711081
282,27555499,17,55.7310744,37.6696464
283,27555499,17,55.7309234,37.6699051
284,27555499,17,55.7309103,37.669881
285,27555499,17,55.7308728,37.6699452
286,27555499,17,55.7308866,37.6699707
287,27555499,17,55.7307558,37.6701947
288,27555499,17,55.7307417,37.6701686
289,27555499,17,55.730715,37.6702142
290,27555499,17,55.7307031,37.6702346
291,27555499,17,55.7307175,37.6702611
292,27555499,17,55.7305648,37.6705225
293,27555499,17,55.7304745,37.6703562
294,27555499,17,55.7306271,37.6700952
295,27555499,17,55.7306413,37.6701215
296,27555499,17,55.7306542,37.6700994
297,27555499,17,55.7306767,37.670061
298,27555499,17,55.7306612,37.6700324
299,27555499,17,55.7307977,37.6697987
300,27555499,17,55.7308112,37.6698237
301,27555499,17,55.7308462,37.6697638
302,27555499,17,55.7308304,37.6697346
303,27555499,17,55.7309816,37.6694756
304,27555499,17,55.7310744,37.6696464
305,27555502,17,55.7309874,37.6691792
306,27555502,17,55.7310598,37.669059
307,27555502,17,55.7305686,37.6681193
308,27555502,17,55.7304963,37.6682395
309,27555502,17,55.7309874,37.6691792
310,27555522,17,55.7304927,37.6682612
311,27555522,17,55.7300394,37.6685452
312,27555522,17,55.7299967,37.6683307
313,27555522,17,55.7304501,37.6680466
314,27555522,17,55.7304927,37.6682612
315,27555530,16,55.7312313,37.668849
316,27555530,16,55.7315136,37.6693821
317,27555530,16,55.7312227,37.669868
318,27555530,16,55.7309404,37.6693349
319,27555530,16,55.7312313,37.668849
320,27555550,8,55.7308263,37.6720579
321,27555550,8,55.7304234,37.6729794
322,27555550,8,55.7303362,37.6728717
323,27555550,8,55.7307448,37.6719434
324,27555550,8,55.7308263,37.6720579
325,27555736,9,55.733583,37.6828682
326,27555736,9,55.7334717,37.682884
327,27555736,9,55.7334047,37.6813994
328,27555736,9,55.733516,37.6813835
329,27555736,9,55.733583,37.6828682
330,27558011,1,55.7582918,37.6572975
331,27558011,1,55.7582918,37.6572429
332,27558011,1,55.7582914,37.6569282
333,27558011,1,55.7579537,37.6569294
334,27558011,1,55.757954,37.6572597
335,27558011,1,55.757954,37.6572986
336,27558011,1,55.7582918,37.6572975
337,27560557,5,55.7279066,37.6687449
338,27560557,5,55.7279385,37.6689204
339,27560557,5,55.7279404,37.6689311
340,27560557,5,55.7278739,37.6689676
341,27560557,5,55.7278786,37.6689944
342,27560557,5,55.727803,37.6690359
343,27560557,5,55.7277983,37.6690092
344,27560557,5,55.7277514,37.6690349
345,27560557,5,55.7277496,37.6690242
346,27560557,5,55.7273584,37.669239
347,27560557,5,55.7273537,37.6691885
348,27560557,5,55.7273222,37.6691593
349,27560557,5,55.7272921,37.6691666
350,27560557,5,55.7272798,37.6690183
351,27560557,5,55.7272659,37.6690196
352,27560557,5,55.7272415,37.6687218
353,27560557,5,55.727288,37.6686999
354,27560557,5,55.7272904,37.6687414
355,27560557,5,55.7273446,37.6687264
356,27560557,5,55.7273527,37.6688465
357,27560557,5,55.7273633,37.6690037
358,27560557,5,55.7273832,37.6690223
359,27560557,5,55.7274055,37.6690431
360,27560557,5,55.7274713,37.6690076
361,27560557,5,55.7276066,37.6689347
362,27560557,5,55.7277324,37.6688603
363,27560557,5,55.7277346,37.6688509
364,27560557,5,55.727822,37.668797
365,27560557,5,55.7279066,37.6687449
366,27563721,6,55.7272722,37.6715964
367,27563721,6,55.7268546,37.6718983
368,27563721,6,55.7268096,37.6717018
369,27563721,6,55.7272272,37.6713999
370,27563721,6,55.7272722,37.6715964
371,27563729,4,55.7263012,37.6705318
372,27563729,4,55.726346,37.6707366
373,27563729,4,55.7260672,37.6709287
374,27563729,4,55.7261819,37.6714535
375,27563729,4,55.7260711,37.6715298
376,27563729,4,55.725942,37.670939
377,27563729,4,55.7259874,37.670748
378,27563729,4,55.7263012,37.6705318
379,27563736,4,55.726316,37.671015
380,27563736,4,55.7263981,37.6713925
381,27563736,4,55.7264452,37.6713639
382,27563736,4,55.7264585,37.6714126
383,27563736,4,55.7265001,37.6714327
384,27563736,4,55.7265091,37.6714946
385,27563736,4,55.7269013,37.6712183
386,27563736,4,55.7268884,37.6711441
387,27563736,4,55.7269036,37.6711005
388,27563736,4,55.7269045,37.6710619
389,27563736,4,55.7269479,37.6710226
390,27563736,4,55.7268547,37.6706384
391,27563736,4,55.7267461,37.6707134
392,27563736,4,55.7268227,37.6710463
393,27563736,4,55.7265005,37.6712708
